User_ID,Age,Gender,Occupation,Country_Region,Stress_Level_Before,Stress_Level_After,Mood_Score,Sleep_Hours,Meditation_Minutes_Per_Day,Yoga_Minutes_Per_Day,Affirmations_Per_Day,Reels_Viewed_Per_Day,Podcast_Listening_Minutes,Audiobook_Listening_Minutes,App_Usage_Minutes_Per_Day,Streak_Days,Challenge_Participation,Subscription_Type,Productivity_Score,Mindfulness_Score,User_Satisfaction
USR0020,18,Male,Working Professional,UK,8.6,7.6,7.6,7.2,18.5,8.7,6,8,29.2,12.2,61.9,35,No,Premium,4.6,86.9,7.3
USR0021,46,Female,Student,USA,5.2,3.7,9.9,5.9,39.6,10.5,7,7,2.5,33.7,97.5,11,Yes,Free,4.9,62.8,4.5
USR0022,29,Female,Retired,USA,6.1,6.1,7.9,6.0,13.4,1.7,3,13,9.9,0.7,53.0,36,Yes,Free,4.1,80.2,5.7
USR0023,32,Male,Working Professional,UK,9.5,7.9,7.2,7.3,14.9,41.1,5,4,38.3,15.4,109.8,20,Yes,Free,5.3,45.5,4.6
USR0024,18,Female,Freelancer,India,6.7,5.1,9.5,6.3,28.0,20.0,5,4,2.9,14.3,75.8,56,Yes,Free,5.4,80.7,6.3
USR0025,26,Male,Working Professional,India,8.4,7.4,6.7,5.6,5.3,1.4,2,7,49.9,3.5,55.1,7,No,Free,3.4,64.4,4.2
USR0026,33,Female,Homemaker,UAE,6.1,5.7,7.2,5.8,6.6,1.6,4,7,22.0,0.6,37.0,30,Yes,Free,4.2,42.5,3.9
USR0027,20,Male,Homemaker,India,6.0,3.5,10.0,5.4,45.5,18.8,4,12,25.9,12.2,109.2,36,Yes,Premium,6.1,90.3,7.7
USR0028,35,Female,Working Professional,Canada,5.2,3.6,7.3,7.1,34.7,5.1,4,9,15.8,4.8,67.4,13,No,Free,5.6,61.1,4.6
USR0029,25,Non-Binary,Working Professional,UAE,6.8,5.0,9.5,8.3,66.3,8.4,2,8,18.3,42.1,136.8,43,No,Premium,6.8,75.5,6.9
USR0030,29,Female,Working Professional,India,8.0,7.1,8.7,6.8,34.8,9.4,3,11,4.9,29.0,88.3,22,No,Free,3.9,53.4,4.5
USR0031,25,Male,Entrepreneur,USA,5.4,5.2,8.5,9.8,2.0,5.9,5,11,6.7,1.0,42.6,13,Yes,Free,5.2,50.8,4.6
USR0032,50,Female,Freelancer,UK,4.6,4.3,7.4,6.0,26.0,1.3,3,6,9.7,5.1,58.8,27,No,Free,5.4,62.0,4.5
USR0033,31,Male,Entrepreneur,UAE,7.6,6.0,8.5,6.4,7.9,19.4,2,8,49.4,33.0,89.4,31,Yes,Free,4.2,43.9,4.8
USR0034,21,Female,Working Professional,Singapore,8.2,5.7,8.7,8.7,80.3,37.6,4,14,24.2,14.1,164.0,33,Yes,Premium,6.9,100.0,6.5
USR0035,40,Female,Homemaker,Australia,9.0,7.1,7.7,7.9,19.6,25.0,7,10,29.8,90.0,125.9,46,No,Premium,4.8,66.3,6.2
USR0036,19,Female,Homemaker,India,5.6,4.9,8.9,7.4,12.1,20.7,1,7,3.5,4.5,49.6,30,Yes,Free,4.8,56.4,5.1
USR0037,34,Female,Freelancer,Canada,5.6,4.8,7.4,8.0,11.3,2.9,1,8,26.6,20.2,54.0,7,No,Free,5.0,51.0,3.6
USR0038,18,Female,Entrepreneur,USA,8.2,8.0,6.5,5.6,5.8,3.7,3,11,16.4,8.1,50.9,27,Yes,Free,2.5,81.2,5.3
USR0039,18,Male,Working Professional,USA,7.9,7.1,6.2,7.7,11.2,10.8,6,6,26.6,12.2,65.5,54,Yes,Premium,4.1,76.1,5.4
USR0040,33,Female,Student,India,6.6,5.2,8.4,5.1,43.9,25.4,3,11,73.8,14.4,139.9,65,Yes,Premium,4.9,88.7,6.1
USR0041,39,Male,Freelancer,India,6.0,5.4,7.6,9.0,24.3,35.5,7,13,44.3,16.9,124.5,13,No,Free,7.0,70.2,4.5
USR0042,33,Female,Freelancer,Australia,5.1,4.6,8.6,8.4,12.3,23.1,3,13,36.5,16.2,96.0,49,Yes,Premium,5.7,66.2,5.7
USR0043,30,Female,Working Professional,USA,5.3,3.4,8.2,8.7,32.5,33.6,4,18,66.0,23.9,146.5,62,Yes,Premium,5.9,83.3,5.9
USR0044,28,Female,Working Professional,USA,6.8,6.8,7.0,6.4,14.7,12.2,2,6,16.6,3.5,61.4,16,No,Free,4.6,55.3,4.3
USR0045,18,Female,Working Professional,USA,9.3,7.8,6.3,7.6,7.9,5.9,5,4,35.1,8.9,51.0,21,Yes,Free,4.4,64.9,4.4
USR0046,24,Female,Working Professional,Germany,5.9,4.6,7.9,7.2,14.4,14.7,5,9,25.5,20.8,73.6,29,Yes,Premium,4.7,93.3,6.1
USR0047,27,Male,Working Professional,Australia,4.8,3.1,10.0,8.0,39.5,8.9,4,13,16.8,18.0,95.7,32,No,Premium,6.6,60.5,6.3
USR0048,42,Female,Freelancer,India,4.5,3.6,8.1,5.9,18.1,0.4,4,8,102.8,3.3,86.5,23,No,Free,4.6,61.6,4.5
USR0049,35,Male,Freelancer,India,6.8,5.7,7.2,6.6,11.9,14.3,2,4,3.6,9.3,48.5,8,Yes,Free,5.2,58.0,3.3
USR0050,18,Female,Working Professional,India,7.6,7.3,7.0,7.6,14.1,6.9,2,5,5.8,17.7,38.7,13,No,Free,5.5,51.0,3.5
USR0051,35,Male,Working Professional,UAE,8.9,8.4,6.8,5.7,1.4,9.6,5,5,3.6,50.2,58.8,13,No,Free,3.2,45.7,3.2
USR0052,28,Male,Working Professional,UK,8.6,7.4,5.6,6.5,19.6,17.8,4,16,23.2,33.4,93.2,30,Yes,Premium,4.5,56.9,4.2
USR0053,25,Female,Student,USA,7.4,7.7,6.5,6.2,3.2,3.9,4,8,6.8,2.6,33.8,17,Yes,Free,4.1,72.9,4.5
USR0054,38,Male,Homemaker,UK,7.0,6.0,8.1,5.0,13.5,15.8,2,7,33.4,14.8,81.3,60,No,Premium,4.3,62.1,6.8
USR0055,42,Female,Entrepreneur,USA,5.9,4.8,10.0,7.2,26.2,15.6,10,9,120.0,11.2,131.3,34,No,Premium,5.5,86.3,5.9
USR0056,41,Male,Working Professional,Germany,8.0,6.6,7.6,7.5,36.3,5.9,1,6,1.1,2.2,53.4,27,No,Free,4.8,61.3,5.0
USR0057,23,Male,Homemaker,USA,5.8,4.8,7.1,7.4,7.8,20.6,5,10,30.1,4.3,71.2,13,No,Free,4.5,63.2,3.7
USR0058,28,Female,Retired,India,7.3,6.6,7.0,5.0,3.5,7.2,2,10,2.7,3.3,37.4,7,No,Free,3.1,52.8,4.0
USR0059,35,Male,Homemaker,India,6.6,4.4,8.6,7.9,25.7,19.1,7,10,15.4,13.6,89.0,81,No,Premium,5.6,74.8,6.4
USR0060,41,Male,Student,USA,6.3,4.5,8.7,4.8,30.7,27.1,1,6,20.4,3.9,88.4,29,Yes,Free,4.7,70.5,5.3
USR0061,27,Female,Entrepreneur,UAE,5.3,2.5,10.0,6.3,30.7,32.1,6,12,56.3,15.4,132.2,30,Yes,Premium,5.1,89.8,7.5
USR0062,30,Male,Working Professional,USA,6.2,4.2,8.3,9.6,40.5,34.5,5,13,18.9,12.0,122.1,47,Yes,Premium,6.9,71.7,5.2
USR0063,20,Female,Working Professional,Germany,7.3,6.6,8.1,6.9,11.5,3.8,3,11,8.4,4.9,52.8,9,Yes,Free,4.0,54.5,4.4
USR0064,20,Male,Student,Australia,5.8,5.0,9.2,5.6,30.9,8.4,4,11,18.7,27.5,88.4,68,No,Premium,3.8,76.5,6.9
USR0065,40,Male,Working Professional,India,6.8,5.6,8.4,5.1,12.3,11.6,4,5,62.4,14.0,86.0,29,Yes,Premium,4.0,66.5,6.0
USR0066,45,Female,Student,India,8.6,8.1,6.5,4.7,6.4,3.9,2,8,6.3,2.8,34.3,36,Yes,Free,3.1,60.6,4.4
USR0067,31,Male,Working Professional,India,8.8,8.4,8.1,4.7,7.4,28.8,5,1,11.8,1.1,45.0,9,No,Free,3.1,68.0,6.3
USR0068,42,Male,Working Professional,Canada,7.7,6.8,8.6,8.0,20.7,20.6,6,8,60.0,20.4,98.0,41,No,Premium,4.4,81.6,6.8
USR0069,35,Male,Homemaker,India,8.0,6.2,7.8,7.4,49.7,9.0,4,13,31.1,37.7,123.2,76,Yes,Premium,5.2,77.1,6.7
USR0070,25,Male,Retired,USA,4.1,2.4,9.9,7.9,31.1,1.7,4,10,54.0,0.9,86.6,16,No,Free,6.5,78.2,5.8
USR0071,35,Female,Working Professional,USA,8.9,8.8,5.4,5.0,2.2,2.0,6,9,52.2,11.7,60.4,8,No,Free,2.8,52.7,3.6
USR0072,47,Male,Retired,Canada,4.0,3.2,10.0,4.5,2.8,11.9,6,13,12.4,15.8,64.4,23,No,Free,4.1,65.0,5.4
USR0073,31,Female,Retired,India,6.0,4.6,8.5,8.0,16.6,24.0,4,10,32.5,23.5,94.5,28,Yes,Premium,5.8,51.2,5.1
USR0074,47,Female,Homemaker,USA,4.8,4.8,6.3,6.8,5.2,23.6,1,7,5.2,31.5,69.3,33,Yes,Free,4.5,61.1,3.5
USR0075,18,Female,Student,USA,8.1,7.6,4.7,5.9,14.3,33.9,2,12,93.2,30.2,142.8,32,No,Free,4.4,65.1,4.2
USR0076,40,Female,Freelancer,USA,3.7,1.5,10.0,8.4,45.0,10.7,4,5,21.5,10.9,81.0,32,Yes,Premium,6.8,71.9,6.5
USR0077,32,Male,Entrepreneur,Germany,4.4,3.5,9.0,8.9,49.2,4.4,4,9,30.6,6.7,99.4,34,Yes,Free,6.2,88.3,6.1
USR0078,29,Non-Binary,Freelancer,India,5.0,3.8,8.7,9.4,25.9,11.3,4,9,22.5,26.7,91.9,30,Yes,Premium,6.8,67.6,5.8
USR0079,32,Male,Working Professional,Germany,5.9,5.2,8.1,5.4,27.3,5.3,3,10,7.5,45.7,87.8,59,Yes,Free,4.3,67.7,5.8
USR0080,18,Female,Working Professional,Canada,6.1,5.4,9.3,8.1,21.2,37.5,5,17,17.2,34.5,121.6,36,No,Premium,5.8,58.7,5.9
USR0081,29,Female,Freelancer,UK,5.0,4.4,9.4,7.2,3.5,10.3,4,12,16.4,2.9,55.5,34,Yes,Free,5.1,47.4,4.9
USR0082,35,Male,Working Professional,Canada,8.0,6.8,9.2,5.7,21.2,24.1,4,8,20.6,14.9,74.3,28,No,Premium,4.1,68.5,5.9
USR0083,46,Female,Student,USA,6.9,6.1,9.2,8.4,22.1,16.1,4,12,18.2,31.6,90.5,49,Yes,Premium,4.8,60.0,6.5
USR0084,26,Female,Working Professional,India,9.3,9.4,6.4,5.7,20.3,0.4,2,5,5.1,9.6,39.1,5,No,Free,2.8,68.3,4.8
USR0085,23,Male,Homemaker,Canada,6.3,6.1,6.0,5.8,3.7,0.8,1,7,5.8,11.9,35.8,11,No,Free,2.8,41.8,2.7
USR0086,26,Male,Retired,USA,7.3,7.1,7.6,8.3,6.9,9.3,4,14,14.0,14.1,56.2,8,Yes,Free,5.1,43.4,3.5
USR0087,41,Female,Student,UK,7.9,7.0,5.5,6.0,6.8,15.2,1,10,9.8,1.6,56.9,18,Yes,Free,3.2,40.1,3.6
USR0088,35,Female,Entrepreneur,USA,5.7,2.7,10.0,7.8,58.1,10.9,6,15,16.6,39.1,127.3,39,Yes,Premium,7.7,83.9,6.9
USR0089,26,Non-Binary,Working Professional,UAE,6.2,4.4,7.9,6.7,18.8,23.4,9,11,30.4,39.8,97.4,34,Yes,Premium,4.8,81.8,5.6
USR0090,37,Female,Freelancer,UK,7.5,5.9,9.4,7.1,21.1,20.0,4,9,31.0,9.5,80.1,87,Yes,Free,5.2,61.9,6.2
USR0091,32,Non-Binary,Homemaker,India,3.3,2.4,10.0,7.1,30.8,14.4,4,8,32.1,24.8,89.1,30,No,Premium,7.0,58.3,6.1
USR0092,41,Female,Homemaker,USA,6.7,5.5,7.8,5.6,14.6,24.5,4,10,88.4,26.2,121.2,58,Yes,Premium,4.5,60.7,6.6
USR0093,24,Male,Entrepreneur,Australia,6.7,5.0,8.4,7.2,22.7,14.2,8,14,17.1,13.2,86.1,35,Yes,Premium,5.0,70.4,6.9
USR0094,28,Male,Working Professional,Australia,5.9,4.1,8.7,6.4,33.7,13.6,1,8,34.4,1.8,84.2,17,Yes,Free,5.3,53.6,3.6
USR0095,28,Female,Retired,USA,5.6,4.7,7.5,6.1,9.7,17.3,2,8,14.1,0.3,48.9,9,No,Free,4.1,55.2,4.5
USR0096,18,Female,Student,UAE,9.4,7.2,7.3,6.0,43.5,57.8,3,6,14.7,36.6,145.9,35,Yes,Free,4.3,100.0,5.5
USR0097,34,Male,Freelancer,India,3.4,2.6,7.4,5.2,3.6,5.1,2,9,14.6,6.4,42.5,12,Yes,Free,4.8,47.4,4.4
USR0098,34,Male,Freelancer,USA,4.2,3.7,8.0,6.1,1.2,6.4,6,9,7.9,1.3,33.2,37,Yes,Free,3.5,51.1,3.9
USR0099,32,Non-Binary,Freelancer,UAE,3.1,1.7,9.2,7.7,33.3,2.2,3,8,7.8,9.4,62.2,75,No,Free,5.6,80.5,6.1
USR0100,29,Female,Working Professional,UAE,6.3,5.4,8.6,5.2,28.2,2.7,3,8,20.0,1.2,69.9,12,No,Free,4.1,49.1,4.2
USR0101,18,Female,Retired,Canada,5.1,2.8,10.0,7.6,83.6,22.2,6,8,15.9,11.3,138.4,32,Yes,Premium,7.0,100.0,7.4
USR0102,27,Female,Student,Germany,7.2,5.8,8.1,7.3,17.1,29.9,0,14,17.8,10.1,84.7,16,No,Free,5.4,59.4,4.3
USR0103,28,Male,Student,India,6.3,4.9,8.3,7.9,41.4,6.0,3,10,25.8,10.7,90.2,22,No,Free,6.4,86.1,5.1
USR0104,23,Male,Freelancer,Germany,6.7,5.7,8.2,6.1,26.3,2.4,4,6,8.8,13.0,61.2,13,No,Free,4.2,73.7,4.0
USR0105,30,Male,Working Professional,USA,5.8,4.2,7.6,7.2,27.9,4.0,8,7,4.9,16.0,65.2,77,Yes,Free,5.0,55.3,4.9
USR0106,36,Male,Homemaker,India,9.1,8.5,7.0,5.4,12.6,7.3,3,11,4.8,16.6,49.1,35,Yes,Free,3.9,58.6,4.8
USR0107,50,Female,Working Professional,India,7.9,8.4,7.1,5.0,7.2,4.1,1,9,1.7,8.5,46.0,72,Yes,Free,3.0,38.9,5.2
USR0108,33,Male,Student,USA,7.8,6.3,8.6,7.5,40.9,3.2,4,4,1.9,15.5,69.9,16,No,Free,5.5,80.4,4.7
USR0109,34,Female,Homemaker,India,6.9,6.2,6.5,8.9,8.5,16.0,1,9,3.6,5.5,55.4,13,Yes,Free,5.6,42.3,3.0
USR0110,31,Female,Working Professional,USA,5.4,4.7,8.6,7.6,11.6,0.1,3,8,0.4,8.7,51.5,16,No,Free,4.7,59.8,4.3
USR0111,18,Male,Student,India,6.6,6.3,7.3,4.8,8.9,9.3,1,10,6.2,7.5,53.8,20,No,Free,3.2,62.3,4.3
USR0112,31,Female,Freelancer,India,5.7,3.6,7.9,5.7,22.5,26.9,8,12,22.3,16.0,99.4,52,No,Premium,4.7,58.3,5.6
USR0113,32,Female,Working Professional,UK,6.3,5.9,8.5,7.5,9.5,3.7,3,8,106.9,4.1,89.6,52,No,Free,4.9,70.3,5.4
USR0114,56,Female,Freelancer,USA,5.5,5.3,6.8,7.5,0.7,11.1,3,8,95.8,1.2,82.3,21,No,Free,4.8,61.5,3.4
USR0115,30,Male,Working Professional,USA,8.2,6.3,8.5,7.0,32.1,13.3,5,13,4.1,10.6,76.2,14,No,Free,5.1,58.4,3.5
USR0116,35,Female,Homemaker,Australia,5.9,5.9,7.8,6.1,8.8,12.8,6,7,4.8,11.6,50.7,13,Yes,Free,3.2,70.2,4.4
USR0117,31,Female,Homemaker,UAE,6.4,6.6,8.1,7.3,13.3,7.1,1,9,13.5,6.1,61.8,30,Yes,Free,4.8,41.3,4.4
USR0118,20,Male,Freelancer,Australia,3.5,4.0,7.7,5.9,2.2,5.1,3,9,3.2,55.8,62.4,23,No,Free,4.1,58.5,4.5
USR0119,43,Male,Student,USA,4.4,3.6,8.4,8.1,10.1,29.7,4,8,29.0,22.2,98.6,38,No,Premium,4.9,62.8,6.4
USR0120,39,Female,Homemaker,Australia,4.6,4.2,8.8,7.1,4.2,17.0,3,7,10.2,33.0,65.9,11,No,Free,4.4,38.6,3.2
USR0121,39,Female,Freelancer,India,8.5,7.7,6.3,5.3,18.3,4.7,3,12,7.8,12.7,62.7,48,No,Free,3.0,74.6,5.0
USR0122,22,Male,Freelancer,India,9.0,8.3,7.7,6.7,11.6,9.3,5,11,49.6,13.2,78.1,53,Yes,Premium,3.2,76.1,6.7
USR0123,46,Female,Working Professional,USA,8.5,7.3,7.0,10.0,45.9,8.9,3,11,50.2,65.1,148.8,33,Yes,Premium,5.9,75.3,5.3
USR0124,18,Male,Retired,Germany,5.4,5.2,8.0,6.1,3.6,1.2,1,9,88.3,32.5,86.4,18,Yes,Free,4.2,45.7,3.4
USR0125,37,Female,Freelancer,India,6.6,6.2,7.1,7.2,3.4,10.5,1,6,5.0,9.6,36.6,19,No,Free,4.2,44.2,2.4
USR0126,53,Male,Student,India,8.9,8.9,5.5,7.1,3.0,0.6,4,7,43.8,4.2,43.7,16,No,Free,3.0,54.8,3.4
USR0127,22,Female,Working Professional,India,9.8,9.3,6.5,6.8,0.2,4.9,1,4,15.4,3.8,42.0,14,No,Free,3.1,48.6,3.4
USR0128,26,Male,Retired,Germany,4.3,4.0,7.8,6.6,22.2,16.8,2,8,17.9,24.6,83.0,34,No,Free,5.3,77.8,4.9
USR0129,32,Male,Student,UK,7.3,6.2,8.0,5.3,31.2,4.2,1,11,45.3,1.1,85.5,10,Yes,Free,4.6,61.5,4.6
USR0130,26,Male,Entrepreneur,India,6.5,5.4,6.3,6.8,24.3,25.3,5,12,72.2,25.2,128.9,41,Yes,Premium,4.8,85.3,6.5
USR0131,18,Male,Freelancer,UK,6.9,6.0,7.4,7.0,3.1,16.4,1,6,26.0,15.3,57.9,12,No,Free,4.3,30.6,2.7
USR0132,32,Female,Freelancer,USA,6.1,5.8,8.4,8.2,5.0,3.4,2,10,8.5,3.0,35.3,5,No,Free,5.5,55.1,3.8
USR0133,21,Male,Working Professional,Canada,5.5,4.6,8.0,8.8,9.7,15.7,2,6,13.5,18.3,56.2,18,No,Free,5.0,56.1,4.3
USR0134,36,Female,Working Professional,India,7.6,4.9,9.4,9.8,56.3,24.5,6,11,34.1,28.3,134.3,32,Yes,Premium,6.9,91.3,7.0
USR0135,22,Male,Entrepreneur,Germany,6.0,5.0,9.3,6.4,4.3,6.1,3,9,35.3,6.5,44.8,10,No,Free,3.8,67.7,4.8
USR0136,47,Male,Working Professional,USA,6.9,6.2,8.6,8.1,29.7,10.8,3,9,36.5,19.9,92.5,38,No,Premium,4.6,77.5,6.3
USR0137,24,Male,Homemaker,Canada,6.0,5.6,6.0,6.5,8.7,8.8,4,10,9.1,26.8,52.7,78,Yes,Free,4.4,57.3,4.1
USR0138,28,Male,Working Professional,India,9.5,7.9,5.9,6.4,5.3,30.5,2,6,10.8,11.1,68.5,30,Yes,Free,4.6,49.3,3.8
USR0139,40,Male,Student,USA,7.5,6.7,6.9,5.2,9.1,12.2,3,6,1.0,14.4,52.2,12,No,Free,4.5,34.7,3.3
USR0140,19,Male,Student,USA,6.9,6.5,7.4,6.4,1.1,2.3,4,8,51.6,8.0,52.2,15,Yes,Free,3.7,53.2,4.9
USR0141,34,Female,Working Professional,USA,8.1,7.2,7.0,7.0,24.0,13.8,2,6,1.8,2.4,60.6,16,Yes,Free,4.6,73.0,5.1
USR0142,45,Male,Entrepreneur,India,5.7,5.2,7.4,5.9,4.2,6.7,3,8,17.3,90.0,90.2,12,Yes,Free,4.3,62.5,4.4
USR0143,18,Female,Working Professional,Australia,7.2,6.7,7.0,8.5,19.4,10.7,4,7,41.1,11.4,84.4,12,Yes,Free,4.9,56.1,3.5
USR0144,33,Female,Working Professional,India,8.0,7.5,5.7,8.6,11.1,23.9,4,9,25.9,16.2,77.6,26,No,Premium,5.5,73.8,3.7
USR0145,34,Male,Working Professional,Canada,7.9,7.3,6.7,6.7,46.5,8.7,2,4,32.2,18.8,89.6,24,Yes,Free,4.5,84.0,4.5
USR0146,39,Female,Working Professional,Germany,6.2,4.4,8.8,8.8,3.2,20.2,3,11,32.6,14.5,68.9,29,No,Free,6.2,64.7,6.2
USR0147,19,Non-Binary,Working Professional,UK,7.5,6.5,7.4,7.5,32.2,15.4,8,8,1.2,4.0,63.9,24,Yes,Free,4.8,75.6,4.0
USR0148,18,Female,Retired,Australia,7.0,5.6,8.0,4.7,34.9,19.5,7,6,25.6,41.4,109.3,102,No,Premium,3.7,83.5,6.4
USR0149,37,Female,Working Professional,Canada,5.6,3.3,8.8,5.1,61.6,10.0,4,13,38.5,11.1,109.8,29,Yes,Premium,4.9,88.1,6.3
USR0150,34,Male,Working Professional,USA,6.1,5.1,8.3,7.9,9.7,21.7,3,5,11.0,14.0,56.4,92,Yes,Free,4.4,71.9,6.8
USR0151,34,Female,Student,Germany,6.5,5.1,8.8,6.6,19.5,33.0,2,8,15.8,9.7,87.3,21,No,Free,5.8,60.0,4.2
USR0152,35,Female,Entrepreneur,India,10.0,9.9,6.1,5.6,6.9,1.8,0,9,18.1,5.7,38.7,9,No,Free,3.1,41.3,3.5
USR0153,25,Female,Working Professional,UK,5.9,4.7,8.1,7.0,13.1,16.0,5,7,18.3,36.3,72.6,80,Yes,Premium,4.6,69.5,6.0
USR0154,34,Non-Binary,Student,Australia,7.5,5.7,7.9,9.5,18.8,11.6,4,13,25.6,26.0,89.8,37,Yes,Premium,5.2,56.4,4.6
USR0155,34,Male,Freelancer,USA,5.5,4.6,8.2,6.3,2.7,16.9,4,13,0.6,21.4,54.5,14,No,Free,4.1,48.7,3.9
USR0156,24,Male,Working Professional,USA,5.6,3.3,9.3,6.5,60.3,15.3,1,8,3.2,8.0,100.9,15,No,Free,6.2,60.1,4.8
USR0157,50,Female,Working Professional,USA,8.0,8.1,6.5,5.7,1.5,1.8,3,11,14.4,42.8,63.0,13,No,Free,2.4,37.0,2.6
USR0158,36,Female,Working Professional,Germany,4.9,3.3,9.8,5.8,13.3,25.1,3,9,17.0,6.3,71.7,85,Yes,Free,5.4,74.6,7.2
USR0159,20,Male,Homemaker,UAE,8.2,7.4,8.0,7.4,24.8,10.4,4,18,18.2,21.4,104.0,33,Yes,Premium,4.3,74.9,6.4
USR0160,38,Male,Student,USA,5.4,4.0,8.3,6.4,11.6,19.1,2,5,28.2,40.7,88.1,85,Yes,Free,5.5,62.6,5.4
USR0161,22,Male,Homemaker,Canada,5.0,4.4,8.1,6.6,16.3,7.3,4,9,9.3,1.3,58.1,14,No,Free,5.1,65.6,5.0
USR0162,39,Male,Freelancer,UAE,6.9,6.3,6.7,6.7,11.9,12.8,5,14,65.7,11.7,87.5,29,Yes,Premium,3.7,37.9,3.4
USR0163,43,Female,Working Professional,India,8.1,6.9,6.2,8.6,22.1,10.1,6,12,24.8,87.2,115.7,31,Yes,Premium,4.4,70.5,4.9
USR0164,23,Female,Working Professional,India,7.3,7.0,7.2,5.0,5.1,2.2,2,8,3.2,53.3,56.1,16,No,Free,3.1,33.2,3.8
USR0165,41,Male,Working Professional,Canada,6.2,4.4,9.2,8.0,52.2,21.0,4,10,43.4,32.2,134.0,34,Yes,Premium,6.3,73.4,6.4
USR0166,36,Male,Homemaker,Germany,3.6,2.4,9.4,7.6,21.5,9.6,2,5,16.8,9.9,59.3,30,No,Free,6.6,66.1,5.4
USR0167,40,Male,Working Professional,Germany,6.9,4.5,10.0,6.2,63.9,9.6,8,11,24.8,20.6,122.0,33,Yes,Premium,5.8,98.3,7.6
USR0168,50,Male,Working Professional,USA,5.7,4.9,9.2,7.2,10.6,9.4,2,11,23.8,14.5,53.6,56,Yes,Premium,4.6,37.7,5.0
USR0169,29,Female,Working Professional,India,10.0,10.0,5.3,5.8,5.0,0.9,2,8,3.3,8.5,29.2,39,No,Free,3.3,33.0,3.3
USR0170,24,Non-Binary,Entrepreneur,USA,7.2,6.3,7.9,8.3,13.3,24.3,6,8,23.3,18.5,88.9,31,Yes,Premium,5.0,59.3,5.2
USR0171,23,Female,Working Professional,India,5.1,3.7,7.8,5.6,10.2,22.9,3,11,15.6,10.6,70.0,50,Yes,Premium,4.1,43.6,5.2
